"RA" "DEC" "lambda"
56.2865129040863 24.8420620766831 7.4955995828427
57.4389091453255 24.7428798973856 17.1955995828427
56.6599988593749 22.9197740162312 1.1955995828427
56.7559398251469 23.4949094434002 2.3955995828427
56.5399578342848 22.7103695940195 8.4955995828427
56.9816468614083 23.4649820524874 2.1955995828427
56.4626339740435 23.6213892812017 8.5955995828427
57.5090986190593 23.862344094799 7.2955995828427
57.3698258515936 23.7121016734814 2.2955995828427
56.3193826238746 24.5756391826785 7.5955995828427
56.3369194725918 24.9220398560735 0.595599582842701
57.0737691896012 25.0477393924394 1.6955995828427
57.8577637320901 24.7941758499396 7.1955995828427
56.615739770658 23.5926917044781 4.5955995828427
56.3183679198507 23.5671498408127 10.0955995828427
56.7423628447902 23.5608055698869 8.6955995828427
56.723960280812 23.5835491239636 1.3955995828427
56.6641409389607 24.0296357072076 3.0955995828427
56.2441572728554 23.9279834272521 8.8955995828427
56.435096633027 24.2202230730661 2.3955995828427
56.4559267038917 23.9515941586334 10.5955995828427
56.3759702401829 24.3125563177402 7.1955995828427
57.0723669615508 23.8065099345159 8.6955995828427
57.4901672533266 23.7244407142974 9.7955995828427
56.1650976019956 24.5288557264376 7.0955995828427
56.2619837295056 25.0888391258401 8.8955995828427
56.6026775459073 24.4795067922914 8.2955995828427
56.594510650601 24.5700511459492 1.1955995828427
56.5235190446787 24.6122610093222 6.3955995828427
56.549024303916 24.6222263432959 2.4955995828427
56.4174480967815 24.6271619968544 1.3955995828427
57.2540874772617 24.9028426063901 7.0955995828427
57.9136406319126 24.5489058687716 3.0955995828427
57.9971452922175 24.6663436274938 8.6955995828427
55.9286505056845 23.5947791689236 -0.00440041715729911
56.0837581017276 24.796047096713 1.2955995828427
57.2597786510843 23.2523279179382 2.5955995828427
57.6918470200451 22.9305683904413 3.3955995828427
57.9869869018909 23.9018599435024 0.695599582842701
57.648887861812 25.4264381789098 4.0955995828427
56.0974889713867 25.358301533647 7.9955995828427
56.6683557283667 22.8443330770536 9.4955995828427
55.3453447755632 23.9300218026467 7.8955995828427
56.7896595737361 23.432320402099 9.1955995828427
56.8494302839717 23.1490875802619 7.4955995828427
56.5418448264288 23.3399853631674 0.695599582842701
56.020199067733 24.2754627932762 2.2955995828427
