"","pmRA","pmDEC","i_K","Y","J","H","K","ps","pb","RA","Dec","err_RA","err_Dec"
"V16",17.2013721466064,-43.1830902099609,4.00715351104736,15.745023727417,15.1607131958008,14.6507568359375,14.1585912704468,0.998919266042685,2.33034996532933e-06,58.0734872019666,24.4550994175076,1.2924352e-06,1.2924352e-06
"V64",16.9733295440674,-41.4375801086426,4.012770652771,15.978814125061,15.2896699905396,14.7096853256226,14.3188581466675,0.998918691645024,2.02403513949179e-08,55.9833396869772,25.6070274832055,4.0903987e-07,4.0903987e-07
"V528",15.2757959365845,-38.966739654541,4.79293060302734,16.1885108947754,15.3600244522095,14.7817230224609,14.3047218322754,0.998917148337944,0.999863239114757,56.4219579659003,23.9027275409107,3.0677631e-07,3.0677631e-07
"V506",19.5606060028076,-40.4117774963379,4.2983980178833,15.4561929702759,14.7151727676392,14.1722612380981,13.7557954788208,0.998909013546242,0.998234110115018,56.4072964082102,23.7306139594747,2.1674292e-07,2.1674292e-07
"V976",15.8513298034668,-38.8435554504395,3.28543781280517,14.1339387893677,13.5461902618408,13.0060787200928,12.6937301254272,0.998900221517971,0.00577803452881775,54.40708615106,26.3510812747643,4.3345113e-07,4.3345113e-07
"V844",17.8670921325684,-43.5707817077637,3.39578651428222,13.5753526687622,12.9656047439575,12.4358724975586,12.1240699386597,0.998897973883996,0.769843843600658,58.9951560925243,24.961110022198,1.9141787e-07,1.9141787e-07
"V118",14.8174600601196,-39.9666938781738,3.53216075897217,14.8377075195312,14.2038736343384,13.6561918258667,13.3014688491821,0.998897557251429,0.00126222658104469,58.0182504592685,21.7608463099619,3.129497e-07,3.129497e-07
"V741",15.464898109436,-41.8366661071777,3.13313983917236,13.317232131958,12.746301612854,12.1219997406006,11.8517778015137,0.998886736473689,0.062185372539502,56.3003351934103,24.5050073163297,5.889658e-07,5.889658e-07
"V1010",15.1509828567505,-39.2667427062988,3.61319374084472,13.7873420715332,13.1826362609863,12.539612236023,12.1810758209229,0.998885926104031,0.664255990411055,56.8255747715937,24.2308236028131,2.3696924e-07,2.3696289e-07
"V495",18.2775535583496,-42.4491996765137,3.1576664352417,13.2775087356567,12.7427100753784,12.1239995956421,11.8634250259399,0.99888273349205,0.14155374622324,56.7839499995269,24.3067629838721,1.9532847e-07,1.953249e-07
"V525",14.835711479187,-37.4409828186035,3.45034503936768,14.6024971008301,14.0202627182007,13.4598913192749,13.1615552902222,0.998874138584501,0.00374913686185996,56.5190426897349,24.1654811045947,2.777361e-07,2.777174e-07
"V1966",16.6400890350342,-41.2017974853516,2.23899936676025,NA,11.1549997329712,10.5109996795654,10.3640003204346,0.99887155495901,0.000260794706585576,56.7806145670827,23.2263215563407,2.7358712e-07,2.7358712e-07
"V459",14.6454916000366,-36.8669662475586,3.5078050994873,14.4812860488892,13.8840656280518,13.3365688323975,12.9643304443359,0.998867895976132,0.0124995988142059,56.7427523765239,24.0281572628524,1.5664338e-07,1.5664155e-07
"V392",15.3196716308594,-37.0931358337402,6.33938026428223,19.1680526733398,17.791130065918,16.8975563049316,16.3245315551758,0.998867220894449,0.0149016862916667,55.3049963055146,24.0904450464825,1.1579987e-06,1.1579987e-06
"V2323",15.9337902069092,-41.5499076843262,2.95214294433594,NA,11.5852584457397,10.9969997406006,10.7465636825562,0.998863880742281,0.854506455526107,55.7675033656273,22.800896399306,2.1329758e-07,2.1329758e-07
"V2577",21.9016094207764,-40.2914390563965,1.51999950408936,NA,9.63799953460693,9.27000045776367,9.15900039672852,0.998863214342891,0.000888576411528397,56.6184305417146,24.4338410366548,7.3684333e-07,7.3684333e-07
"V755",13.3921804428101,-38.882926940918,3.63253044128418,13.9904098510742,13.3849868774414,12.7902912521362,12.4782025909424,0.998859067325639,0.879207057270312,56.8185535940779,24.7472435679666,6.7993e-07,6.7993e-07
"V563",14.934871673584,-38.2033271789551,3.21632598876953,13.700777053833,13.1528968811035,12.5920000076294,12.3096501922607,0.998851487659181,0.0550087573270317,57.5636057000167,24.2267163394956,1.4265662e-07,1.4265662e-07
"V2585",18.4383983612061,-43.3813209533691,NA,18.1192741394043,17.0456943511963,16.3502044677734,15.8088827133179,0.998850634286575,2.77109204781523e-05,61.4650641243325,23.7466754046144,8.1547006e-07,8.154539e-07
"V1996",-5.14275884628296,-37.4243431091309,1.01599979400635,NA,8.47900009155273,8.29100036621094,8.15299987792969,0.998845279026531,0.139336157714851,56.6599988593749,22.9197740162312,1.6464121e-06,1.6401262e-06
"V532",18.8283786773682,-41.5822105407715,5.30900955200195,17.3007526397705,16.378942489624,15.7942066192627,15.2571296691895,0.998844601530978,0.000221297784046892,56.4609225791438,23.7435801916691,4.9192425e-07,4.9192175e-07
"V879",15.8210601806641,-37.5491523742676,3.57606792449951,15.0761823654175,14.4532680511475,13.924259185791,13.588059425354,0.998840031034569,0.000251968395605262,55.6597900867124,25.4790113736463,2.7506394e-07,2.75054e-07
"V541",16.9909687042236,-38.526294708252,3.34997749328613,14.4411211013794,13.8747959136963,13.3261489868164,13.0207748413086,0.998838172059316,0.00149720784393526,56.8546372415078,24.2547437571122,2.4264588e-07,2.4264588e-07
"V897",17.7303066253662,-41.7148246765137,3.26479743957519,13.9902477264404,13.4139213562012,12.846455039978,12.5408618545532,0.998834116299563,0.0113706349737469,55.9699173114778,25.491818456578,1.6237748e-07,1.6237543e-07
"V931",17.8359489440918,-42.9418907165527,3.29629920959472,13.7875280380249,13.2170419692993,12.6365322494507,12.3444497680664,0.998826274073346,0.103113769777381,56.8923736981137,25.7183301698237,1.8850561e-07,1.8850241e-07
"V579",17.0323581695557,-42.1061935424805,3.49800205230713,14.8569450378418,14.2601470947266,13.7676582336426,13.3852663040161,0.998824774645853,0.000486833019307742,57.964778961323,23.5803363694232,1.8905645e-07,1.8905112e-07
