DANCe,RAJ2000,DEJ2000,pmRA,e_pmRA,pmDE,e_pmDE,BTmag,e_BTmag,VTmag,e_VTmag,rmag,e_rmag,gmag,e_gmag,imag,e_imag,Y,err_Y,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Qflg,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,Pmb,Teff,e_Teff,Lbol,e_Lbol
J033323.41+264404.7,53.34752194444444,26.734636111111108,5.1,2.0,-26.7,2.0,11.793,0.09,11.189,0.09,11.199,0.1,11.648,0.01,,,,,9.874,0.021,9.591,0.022,9.504,0.02,AAA,9.453,0.022,9.47,0.019,9.422,0.038,,,0.0,0,0,,
J033323.59+232919.9,53.34828777777777,23.488870555555554,70.7,0.9,-27.6,0.9,10.188,0.031,9.119,0.02,,,,,,,,,6.9,0.03,6.344,0.021,6.215,0.017,AAA,6.178,0.049,6.121,0.021,6.131,0.016,6.108,0.052,0.0,0,0,,
J033323.73+232205.6,53.348884722222216,23.368221111111108,7.0,0.9,-25.5,0.9,7.328,0.015,7.173,0.011,,,,,,,,,6.836,0.024,6.814,0.026,6.778,0.021,AAA,6.73,0.034,6.778,0.02,6.835,0.016,6.734,0.082,0.0,0,0,,
J033324.02+255740.5,53.35007416666666,25.961257499999995,5.7,2.3,9.0,2.4,12.433,0.224,11.519,0.132,11.229,0.043,12.079,0.02,10.843,0.038,,,9.577,0.02,9.071,0.017,8.888,0.021,AAA,8.833,0.024,8.929,0.021,8.842,0.027,,,0.0,0,0,,
J033325.69+191159.4,53.35705444444444,19.199838888888888,14.2,2.7,-6.7,2.9,14.293,0.572,11.79,0.17,11.172,0.1,12.558,0.028,10.511,0.051,,,8.664,0.02,7.887,0.023,7.664,0.018,AAA,7.529,0.027,7.72,0.02,7.565,0.019,7.669,0.165,0.0,0,0,,
J033326.51+262127.7,53.36044333333333,26.357685555555552,-7.1,1.7,-3.5,1.8,11.829,0.102,11.521,0.129,11.249,0.0080,11.609,0.018,11.047,0.0060,,,10.216,0.021,9.982,0.022,9.924,0.02,AAA,9.872,0.023,9.885,0.021,10.09,0.061,,,0.0,0,0,,
J033326.54+232303.5,53.36057222222222,23.384318055555553,-11.6,0.9,-26.3,0.8,8.916,0.019,7.671,0.012,,,,,,,,,5.739,0.026,5.261,0.02,5.108,0.016,AAA,4.972,0.07,4.851,0.032,5.123,0.016,5.064,0.037,0.0,0,0,,
J033327.09+264754.3,53.362871111111104,26.798420555555552,-10.6,2.0,-4.3,2.0,12.039,0.131,11.109,0.084,11.087,0.1,11.503,0.014,10.854,0.013,,,9.944,0.021,9.579,0.024,9.529,0.018,AAA,9.486,0.024,9.53,0.019,9.423,0.036,8.977,0.514,0.0,0,0,,
J033327.88+262516.1,53.36616916666666,26.421149722222218,-3.2,1.4,-1.5,1.4,11.989,0.131,10.151,0.041,9.309,0.1,,,8.799,0.033,,,7.05,0.019,6.285,0.026,6.091,0.018,AAA,6.063,0.047,6.111,0.023,6.044,0.014,5.987,0.046,0.0,0,0,,
J033329.40+194329.8,53.372496944444435,19.72493222222222,10.4,1.3,-23.7,1.3,11.485,0.086,10.797,0.075,10.594,0.1,11.029,0.075,10.474,0.027,,,9.572,0.021,9.322,0.022,9.239,0.018,AAA,9.215,0.024,9.245,0.02,9.281,0.039,,,0.0,0,0,,
J033330.78+271243.7,53.37823722222222,27.21212944444444,-22.0,2.7,-61.3,2.8,13.137,0.338,11.953,0.185,11.877,0.1,12.433,0.0060,11.662,0.025,,,10.677,0.021,10.273,0.024,10.218,0.017,AAA,10.169,0.022,10.219,0.02,10.315,0.071,,,0.0,0,0,,
J033330.87+291010.7,53.37863638888888,29.169644166666664,10.1,2.8,-16.3,2.9,12.693,0.252,11.918,0.18,11.758,0.054,12.388,0.018,11.489,0.019,,,10.423,0.022,10.097,0.022,10.013,0.018,AAA,9.95,0.024,9.942,0.02,9.85,0.048,,,0.0,0,0,,
J033331.07+254046.6,53.3794711111111,25.67960333333333,-8.0,1.8,-11.7,1.8,10.981,0.054,10.279,0.041,10.145,0.024,,,9.968,0.039,,,9.117,0.024,8.835,0.02,8.782,0.018,AAA,8.774,0.023,8.795,0.019,8.794,0.027,8.881,0.444,0.0,0,0,,
J033331.10+220142.2,53.379574999999996,22.028389999999998,-54.0,1.2,-69.0,1.2,11.575,0.096,10.463,0.056,10.107,0.1,10.826,0.043,9.871,0.046,,,8.777,0.024,8.254,0.017,8.206,0.018,AAA,8.154,0.024,8.199,0.02,8.181,0.021,8.432,0.288,0.0,0,0,,
J033331.77+235233.5,53.38238555555555,23.875977777777774,52.0,1.8,-6.3,2.2,12.608,0.253,11.951,0.215,11.534,0.033,12.146,0.068,11.333,0.02,,,10.328,0.022,9.97,0.022,9.9,0.019,AAA,9.805,0.022,9.858,0.021,9.995,0.061,,,0.0,0,0,,
J033334.09+280120.3,53.39204277777777,28.022299444444442,10.5,2.0,-31.0,2.1,11.896,0.111,11.332,0.107,11.041,0.014,11.516,0.018,10.816,0.01,,,9.898,0.02,9.605,0.022,9.525,0.018,AAA,9.49,0.023,9.519,0.02,9.408,0.036,,,0.0,0,0,,
J033334.24+253440.4,53.39268555555555,25.577877499999996,1.6,2.1,-3.3,2.1,11.808,0.093,11.246,0.095,11.198,0.04,11.406,0.031,11.115,0.036,,,10.445,0.021,10.241,0.022,10.19,0.018,AAA,10.167,0.023,10.178,0.02,10.276,0.072,,,0.0,0,0,,
