"","pmRA","pmDEC","i_K","Y","J","H","K","ps","pb","RA","Dec","err_RA","err_Dec"
"V5567",23.4623527526855,-21.2783470153809,NA,15.9223384857178,15.3147783279419,14.7138042449951,14.3610029220581,0.11585518900802,6.13493511891772e-06,60.2192839038559,24.2605462201742,1.2598604e-06,1.2582885e-06
"V62276",36.9665489196777,-18.0976867675781,NA,16.1116466522217,15.4776926040649,14.960750579834,14.5668544769287,0.115390156361121,3.82768305939862e-09,52.9280713132076,22.0578610234256,4.767905e-07,4.767905e-07
"V6241",-1.71504426002502,-21.4034690856934,NA,14.9150629043579,14.327977180481,13.744140625,13.4314289093018,0.115307873900279,0.000331668809852581,59.4386023339078,27.5360848712673,2.2809916e-06,2.2717027e-06
"V3592",8.3386402130127,-21.2928791046143,NA,14.4245414733887,13.8993949890137,13.2203807830811,13.0072259902954,0.115262503937007,0.00512618709498225,62.2440101841727,23.85585311756,1.2134088e-06,1.211156e-06
"V1924",15.2207632064819,-60.630973815918,NA,NA,10.5459995269775,10.1359996795654,10.0019998550415,0.115189055487769,4.39719372025138e-11,58.8991198179155,26.5378522117335,9.728119e-07,9.728119e-07
"V30999",39.1576919555664,-48.1328735351562,NA,15.4087791442871,14.8753881454468,14.2752122879028,14.0179557800293,0.115183221160123,0.0010957562494287,59.0066338401614,28.1245150472747,7.6751223e-07,7.6751223e-07
"V11258",33.1860504150391,-23.0653514862061,NA,15.2152433395386,14.6630744934082,14.0431642532349,13.7527675628662,0.115151162359381,7.36708690017851e-05,51.3518715879571,23.3525519636133,6.76068e-07,6.759205e-07
"V9085",-0.982786536216736,-25.0413436889648,NA,15.6914443969727,15.0597829818726,14.504656791687,14.1558055877686,0.115118798256278,8.94085519302923e-05,55.288256803576,29.5768749162355,9.218855e-07,9.218855e-07
"V26951",3.70271754264832,-14.2118129730225,NA,14.225245475769,13.6571617126465,13.0277128219604,12.713179359436,0.115101580311324,1.26184519499972e-08,59.029427158812,22.2879449858985,4.78144e-07,4.78144e-07
"V12146",22.0119571685791,-14.7368259429932,NA,16.2016983032227,15.517126083374,14.9057912826538,14.5300550460815,0.115074471599694,4.93400076351236e-09,60.65206667805,22.2350442476377,8.39964e-07,8.394977e-07
"V7008",26.9411010742188,-20.7357063293457,NA,14.0853652954102,13.578896522522,12.8292345428467,12.6535213088989,0.115063110200935,4.43159076103372e-05,58.7299464361329,19.7839930635991,6.6680343e-07,6.665701e-07
"V1502",4.4700870513916,-7.88755416870117,3.30471824645996,14.2051486968994,13.6157827377319,13.0463991165161,12.7200391387939,0.115036668595605,2.48689957516035e-13,54.6781708930988,24.008534545013,9.49919e-07,9.49919e-07
"V6483",14.4867973327637,-16.8788814544678,NA,14.5232973098755,13.98122215271,13.3112440109253,13.0597066879272,0.114957054920177,8.674643824369e-07,51.9672616390367,23.3828664245269,6.423212e-07,6.421126e-07
"V5243",-0.155143067240715,-29.9531764984131,NA,16.1202545166016,15.4733619689941,14.8592252731323,14.5344791412354,0.114844104010416,5.91885530810687e-05,62.1067216781029,24.2987542888257,8.1535825e-07,8.1535825e-07
"V6916",23.5189876556396,-18.939037322998,NA,15.999623298645,15.3728628158569,14.7663631439209,14.4010810852051,0.114808761140931,8.03013370465067e-07,61.4005618042468,22.2858268131221,7.320342e-07,7.3184697e-07
